id,idp,organisation,alias,alias with country code,tenent host name,country,timezone,language,email,term and cons,logo,landing page
885,https://idpglyndwr.ac.uk/shibboleth,Glyndwr University,glyndwr,glyndwruk,glyndwr.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*glyndwr[.][a-zA-Z\._-]*ac[.]uk,,,
895,https://idp.ucb.ac.uk/shibboleth,University College Birmingham,ucb,ucbuk,ucb.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*ucb[.][a-zA-Z\._-]*ac[.]uk,,,
904,https://idp1.tees.ac.uk/entity,Teesside University,tees,teesuk,tees.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*tees[.][a-zA-Z\._-]*ac[.]uk,,,
910,https://idp.courtauld.ac.uk/shibboleth,Courtauld Institute of Art,courtauld,courtaulduk,courtauld.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*courtauld[.][a-zA-Z\._-]*ac[.]uk,,,
936,https://idp.cssd.ac.uk/shibboleth,Royal Central School of Speech and Drama,cssd,cssduk,cssd.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*cssd[.][a-zA-Z\._-]*ac[.]uk,,,
942,https://shibboleth.falmouth.ac.uk/idp/shibboleth,Falmouth University,falmouth,falmouthuk,falmouth.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*falmouth[.][a-zA-Z\._-]*ac[.]uk,,,
947,https://idp.cumbria.ac.uk/idp/shibboleth,University of Cumbria,cumbria,cumbriauk,cumbria.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*cumbria[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*ucsm[.][a-zA-Z\._-]*ac[.]uk,,,
951,https://idp.marjon.ac.uk/idp/shibboleth,University of St Mark & St John,marjon,marjonuk,marjon.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*marjon[.][a-zA-Z\._-]*ac[.]uk,,,
954,https://passport01.leeds.ac.uk/idp/shibboleth,University of Leeds,leeds,leedsuk,leeds.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*leeds[.][a-zA-Z\._-]*ac[.]uk,,,
961,https://gateway.ncl.ac.uk/idp/shibboleth,Newcastle University,ncl,ncluk,ncl.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*newcastle[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*ncl[.][a-zA-Z\._-]*ac[.]uk,,,
964,https://idp1.smuc.ac.uk/idp/shibboleth,St Mary's University Twickenham,smuc,smucuk,smuc.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*smuc[.][a-zA-Z\._-]*ac[.]uk,,,
965,https://dmz-shib-dg-01.dmz.roehampton.ac.uk/idp/shibboleth,University of Roehampton,roehampton,roehamptonuk,roehampton.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*roehampton[.][a-zA-Z\._-]*ac[.]uk,,,
967,https://boleth.chi.ac.uk/idp/shibboleth,University of Chichester,chi,chiuk,chi.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*chi[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*ucc[.][a-zA-Z\._-]*ac[.]uk,,,
975,https://shib2.qmu.ac.uk/idp/shibboleth,"Queen Margaret University, Edinburgh",qmu,qmuuk,qmu.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*qmu[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*qmuc[.][a-zA-Z\._-]*ac[.]uk,,,
980,https://idp1.solent.ac.uk/idp/shibboleth,Southampton Solent University,solent,solentuk,solent.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*solent[.][a-zA-Z\._-]*ac[.]uk,,,
983,https://idp.wellcome.ac.uk/idp/shibboleth,Wellcome Trust,wellcome,wellcomeuk,wellcome.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*wellcome[.][a-zA-Z\._-]*ac[.]uk,,,
984,https://shibbsrv1.gsa.ac.uk/idp/shibboleth,Glasgow School of Art (MyGSA),gsa,gsauk,gsa.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*gsa[.][a-zA-Z\._-]*ac[.]uk,,,
995,https://idp.goldsmiths.ac.uk/idp/shibboleth,"Goldsmiths, University of London",gold,golduk,gold.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*gold[.][a-zA-Z\._-]*ac[.]uk,,,
1003,https://bathspa.ac.uk/oala/metadata,Bath Spa University,bathspa,bathspauk,bathspa.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*bathspa[.][a-zA-Z\._-]*ac[.]uk,,,
1013,https://shib2idp.rgu.ac.uk/idp/shibboleth,Robert Gordon University,rgu,rguuk,rgu.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*rgu[.][a-zA-Z\._-]*ac[.]uk,,,
1025,https://shib2idp.ntu.ac.uk/idp/shibboleth,Nottingham Trent University,ntu,ntuuk,ntu.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*ntu[.][a-zA-Z\._-]*ac[.]uk,,,
1033,https://shib-idp.ucl.ac.uk/shibboleth,UCL (University College London),ucl,ucluk,ucl.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*ucl[.][a-zA-Z\._-]*ac[.]uk,,,
1036,https://idp.shibboleth.qmul.ac.uk/idp/shibboleth,"Queen Mary, University of London",qmul,qmuluk,qmul.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*qmul[.][a-zA-Z\._-]*ac[.]uk,,,
1042,https://login.northumbria.ac.uk/idp/shibboleth,Northumbria University,northumbria,northumbriauk,northumbria.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*unn[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*northumbria[.][a-zA-Z\._-]*ac[.]uk,,,
1045,urn:mace:eduserv.org.uk:athens:provider:liv.ac.uk,University of Liverpool,liv,livuk,liv.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*liv[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*liverpool[.][a-zA-Z\._-]*ac[.]uk,,,
1048,https://bolton.ac.uk/oala/metadata,University of Bolton,bolton,boltonuk,bolton.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*bolton[.][a-zA-Z\._-]*ac[.]uk,,,
1052,https://shibidp.uclan.ac.uk/idp/shibboleth,University of Central Lancashire,uclan,uclanuk,uclan.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*uclan[.][a-zA-Z\._-]*ac[.]uk,,,
1056,https://shibserv.abdn.ac.uk/shibboleth,University of Aberdeen,abdn,abdnuk,abdn.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*abdn[.][a-zA-Z\._-]*ac[.]uk,,,
1057,https://idp.anglia.ac.uk/openathens,Anglia Ruskin University,anglia,angliauk,anglia.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*anglia[.][a-zA-Z\._-]*ac[.]uk,,,
1060,https://idp.uwic.ac.uk/idp/shibboleth,Cardiff Metropolitan University,cardiffmet,cardiffmetuk,cardiffmet.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*cardiffmet[.][a-zA-Z\._-]*ac[.]uk,,,
1061,https://kclidp.kcl.ac.uk/idp/shibboleth,King's College London,kcl,kcluk,kcl.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*kcl[.][a-zA-Z\._-]*ac[.]uk,,,
1075,https://idp.bournemouth.ac.uk/oala/metadata,Bournemouth University,bournemouth,bournemouthuk,bournemouth.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*bournemouth[.][a-zA-Z\._-]*ac[.]uk,,,
1077,https://shibboleth.edgehill.ac.uk/shibboleth,Edge Hill University,edgehill,edgehilluk,edgehill.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*edgehill[.][a-zA-Z\._-]*ac[.]uk,,,
1082,urn:mace:ac.uk:sdss.ac.uk:provider:identity:shibboleth-i.sgul.ac.uk,"St George's, University of London",sgul,sguluk,sgul.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*sgul[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*sghms[.][a-zA-Z\._-]*ac[.]uk,,,
1087,https://athens.newport.ac.uk/oala/metadata,University of South Wales (Newport and Caerleon),southwales,southwalesuk,southwales.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*newport[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*southwales[.][a-zA-Z\._-]*ac[.]uk,,,
1092,https://shibboleth.cranfield.ac.uk/idp/shibboleth,Cranfield University,cranfield,cranfielduk,cranfield.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*cranfield[.][a-zA-Z\._-]*ac[.]uk,,,
1095,https://idp0.essex.ac.uk/shibboleth,University of Essex,essex,essexuk,essex.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*essex[.][a-zA-Z\._-]*ac[.]uk,,,
1099,https://coventry.ac.uk/idp,Coventry University,coventry,coventryuk,coventry.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*coventry[.][a-zA-Z\._-]*ac[.]uk,,,
1106,https://oa-idp.wlv.ac.uk/oala/metadata,University of Wolverhampton,wlv,wlvuk,wlv.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*wlv[.][a-zA-Z\._-]*ac[.]uk,,,
1107,https://idp.bris.ac.uk/shibboleth,University of Bristol,bristol,bristoluk,bristol.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*bristol[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*bris[.][a-zA-Z\._-]*ac[.]uk,,,
1124,https://shib.hope.ac.uk/idp/shibboleth,Liverpool Hope University,hope,hopeuk,hope.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*hope[.][a-zA-Z\._-]*ac[.]uk,,,
1125,https://login.library.dmu.ac.uk/oala/metadata,De Montfort University,dmu,dmuuk,dmu.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*dmu[.][a-zA-Z\._-]*ac[.]uk,,,
1134,https://idp.arts.ac.uk/entity,University of the Arts London,arts,artsuk,arts.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*arts[.][a-zA-Z\._-]*ac[.]uk,,,
1139,https://athensla.uwe.ac.uk/oala/metadata,University of the West of England (UWE),uwe,uweuk,uwe.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*uwe[.][a-zA-Z\._-]*ac[.]uk,,,
1140,https://oala.trinitylaban.ac.uk/oala/metadata,Trinity Laban,trinitylaban,trinitylabanuk,trinitylaban.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*trinitylaban[.][a-zA-Z\._-]*ac[.]uk,,,
1155,https://iss-openathensla-runtime.swan.ac.uk/oala/metadata,Swansea University,swansea,swanseauk,swansea.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*swansea[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*swan[.][a-zA-Z\._-]*ac[.]uk,,,
1157,https://openathens.keele.ac.uk/oala/metadata,Keele University,keele,keeleuk,keele.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*keele[.][a-zA-Z\._-]*ac[.]uk,,,
1159,https://idp.worc.ac.uk/oala/metadata,University of Worcester,worc,worcuk,worc.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*worc[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*worcester[.][a-zA-Z\._-]*ac[.]uk,,,
1160,http://idp.northampton.ac.uk/oala/metadata,University of Northampton (IDP),northampton,northamptonuk,northampton.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*northampton[.][a-zA-Z\._-]*ac[.]uk,,,
1164,http://sso.sunderland.ac.uk/auth/metadata,University of Sunderland,sunderland,sunderlanduk,sunderland.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*sunderland[.][a-zA-Z\._-]*ac[.]uk,,,
1176,https://harper-adams.ac.uk/oala/metadata,Harper Adams University,harper-adams,harper-adamsuk,harper-adams.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*harper-adams[.][a-zA-Z\._-]*ac[.]uk,,,
1181,https://rcm.ac.uk/oala/metadata,Royal College of Music,rcm,rcmuk,rcm.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*rcm[.][a-zA-Z\._-]*ac[.]uk,,,
1193,https://brad.ac.uk/oala/metadata,University of Bradford,bradford,bradforduk,bradford.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*bradford[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*brad[.][a-zA-Z\._-]*ac[.]uk,,,
1194,https://idp.aucb.ac.uk/oala/metadata,Arts University Bournemouth,aub,aubuk,aub.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*aucb[.][a-zA-Z\._-]*ac[.]uk|[a-zA-Z0-9\._-]*aub[.][a-zA-Z\._-]*ac[.]uk,,,
1205,https://login.uea.ac.uk/entity,University of East Anglia (UEA),uea,ueauk,uea.unity.ac,United Kingdom,Europe/London,en_GB,[a-zA-Z0-9\._-]*uea[.][a-zA-Z\._-]*ac[.]uk,,,
